iter	RMSE
0	433.7045072
1	420.5199042
2	413.2151958
3	404.0592131
4	396.1796592
5	388.0479146
6	384.7766864
7	379.7295716
8	372.6330629
9	368.7493504
10	363.5180352
11	359.3563186
12	356.7608749
13	353.4991476
14	350.7491981
15	348.4572961
16	346.9415319
17	343.5550826
18	340.4707324
19	338.5203546
20	336.3500744
21	333.0871375
22	330.5116401
23	327.7995444
24	323.0363908
25	321.96017
26	319.5539236
27	316.911289
28	314.7823523
29	313.7498697
30	311.3702503
31	310.5156257
32	307.0825772
33	305.679228
34	301.356632
35	300.8342255
36	299.7879881
37	299.1270229
38	294.9486053
39	293.7528071
40	292.8066637
41	290.8153387
42	290.1494449
43	288.1859504
44	287.8908047
45	285.2633677
46	282.7202399
47	280.8324608
48	279.0921052
49	277.3703355
50	277.1646378
51	276.7570165
52	276.2366346
53	275.5581067
54	273.8292694
55	270.7779224
56	269.2614757
57	266.335016
58	264.0004125
59	261.9118397
60	259.5837449
61	257.9924981
62	256.5085872
63	254.2559734
64	251.8266057
65	251.4277128
66	251.0846894
67	249.7215279
68	247.4898663
69	247.1374908
70	246.0036034
71	245.65743
72	245.3491653
73	244.1706894
74	242.7805093
75	241.6670616
76	240.7579494
77	239.7635478
78	238.351428
79	236.2157398
80	234.1291497
81	231.9755947
82	231.7241971
83	230.2761298
84	230.1330967
85	229.4318013
86	229.3074169
87	229.0526177
88	227.9492654
89	225.9433373
90	223.9617429
