iter	Passed	Remaining
0	3	313
1	4	184
2	4	140
3	5	116
4	5	100
5	6	89
6	6	82
7	7	76
8	7	71
9	8	68
10	9	66
11	9	64
12	10	62
13	10	59
14	11	59
15	12	57
16	13	59
17	14	58
18	15	57
19	16	58
20	17	56
21	17	55
22	18	55
23	19	53
24	20	53
25	21	53
26	22	52
27	22	50
28	23	49
29	23	48
30	24	47
31	25	47
32	26	46
33	27	45
34	27	44
35	28	43
36	29	42
37	29	41
38	30	41
39	31	40
40	32	39
41	33	39
42	34	38
43	35	37
44	36	37
45	37	36
46	37	35
47	38	34
48	39	33
49	40	32
50	40	32
51	41	31
52	42	30
53	42	29
54	43	28
55	44	27
56	45	27
57	46	26
58	46	25
59	47	24
60	48	23
61	48	22
62	49	22
63	50	21
64	51	20
65	51	19
66	52	18
67	53	18
68	54	17
69	54	16
70	55	15
71	56	14
72	57	14
73	57	13
74	58	12
75	58	11
76	59	10
77	60	10
78	60	9
79	61	8
80	62	7
81	62	6
82	63	6
83	64	5
84	65	4
85	66	3
86	66	3
87	67	2
88	68	1
89	68	0
90	69	0
